,date,T_min,T_max
0,2017-01-01,7,17
1,2017-01-02,7,18
2,2017-01-03,9,15
3,2017-01-04,11,17
4,2017-01-05,14,17
5,2017-01-06,12,14
6,2017-01-07,9,17
7,2017-01-08,7,12
8,2017-01-09,4,10
9,2017-01-10,4,11
10,2017-01-11,5,9
11,2017-01-13,4,13
12,2017-01-14,3,9
13,2017-01-15,2,9
14,2017-01-16,6,11
15,2017-01-17,6,11
16,2017-01-18,8,10
17,2017-01-19,2,11
18,2017-01-20,-1,7
19,2017-01-21,0,8
20,2017-01-22,-1,9
21,2017-01-23,-1,9
22,2017-01-24,3,11
23,2017-01-25,2,11
24,2017-01-26,4,14
25,2017-01-27,7,14
26,2017-01-28,12,16
27,2017-01-29,8,22
28,2017-01-30,1,6
29,2017-01-31,4,9
30,2017-02-01,4,9
31,2017-02-02,4,10
32,2017-02-03,8,15
33,2017-02-04,7,14
34,2017-02-05,3,13
35,2017-02-06,3,11
36,2017-02-07,7,10
37,2017-02-08,2,8
38,2017-02-09,0,6
39,2017-02-10,0,7
40,2017-02-11,-2,8
41,2017-02-12,-1,13
42,2017-02-13,0,13
43,2017-02-14,3,15
44,2017-02-15,4,15
45,2017-02-16,11,22
46,2017-02-17,6,20
47,2017-02-18,6,11
48,2017-02-19,10,19
49,2017-02-20,6,22
50,2017-02-21,8,14
51,2017-02-22,5,17
52,2017-02-23,2,6
53,2017-02-24,1,6
54,2017-02-25,3,11
55,2017-02-26,5,15
56,2017-02-27,3,15
57,2017-02-28,8,16
58,2017-03-01,4,19
59,2017-03-02,0,11
60,2017-03-03,5,13
61,2017-03-04,12,18
62,2017-03-05,8,14
63,2017-03-06,3,11
64,2017-03-07,4,14
65,2017-03-08,1,15
66,2017-03-09,7,17
67,2017-03-10,11,14
68,2017-03-11,10,13
69,2017-03-12,10,14
70,2017-03-13,8,12
71,2017-03-14,5,14
72,2017-03-15,7,14
73,2017-03-16,6,11
74,2017-03-17,10,15
75,2017-03-18,10,13
76,2017-03-19,11,15
77,2017-03-20,10,16
78,2017-03-21,8,15
79,2017-03-22,9,11
80,2017-03-23,8,14
81,2017-03-25,8,16
82,2017-03-26,6,19
83,2017-03-27,10,20
84,2017-03-28,13,19
85,2017-03-29,11,18
86,2017-03-30,10,14
87,2017-03-31,7,12
88,2017-04-01,4,18
89,2017-04-02,6,21
90,2017-04-03,11,22
91,2017-04-04,15,21
92,2017-04-05,17,25
93,2017-04-06,16,26
94,2017-04-07,14,22
95,2017-04-08,14,21
96,2017-04-09,12,17
97,2017-04-10,11,14
98,2017-04-11,11,17
99,2017-04-12,9,18
100,2017-04-13,13,20
101,2017-04-14,13,25
102,2017-04-15,17,28
103,2017-04-16,18,27
104,2017-04-17,14,23
105,2017-04-18,13,30
106,2017-04-20,17,25
107,2017-04-21,13,22
108,2017-04-22,8,21
109,2017-04-23,11,22
110,2017-04-24,15,24
111,2017-04-25,18,24
112,2017-04-26,14,19
113,2017-04-27,8,20
114,2017-04-28,11,24
115,2017-04-29,12,27
116,2017-04-30,14,27
117,2017-05-01,16,27
118,2017-05-02,16,20
119,2017-05-03,20,22
120,2017-05-04,18,24
121,2017-05-05,17,27
122,2017-05-06,16,23
123,2017-05-07,17,25
124,2017-05-08,17,21
125,2017-05-09,15,28
126,2017-05-10,18,30
127,2017-05-11,24,32
128,2017-05-12,15,24
129,2017-05-13,16,28
130,2017-05-14,18,29
131,2017-05-16,15,23
132,2017-05-17,16,26
133,2017-05-18,16,28
134,2017-05-19,19,26
135,2017-05-20,19,27
136,2017-05-21,17,26
137,2017-05-22,20,26
138,2017-05-23,21,27
139,2017-05-24,17,23
140,2017-05-25,14,26
141,2017-05-26,15,29
142,2017-05-27,14,27
143,2017-05-28,16,27
144,2017-05-29,20,28
145,2017-05-30,22,28
146,2017-05-31,24,33
147,2017-06-01,21,28
148,2017-06-02,17,27
149,2017-06-03,17,29
150,2017-06-04,21,26
151,2017-06-05,22,23
152,2017-06-06,22,28
153,2017-06-07,20,29
154,2017-06-08,23,30
155,2017-06-09,24,30
156,2017-06-10,23,30
157,2017-06-11,19,26
158,2017-06-12,19,22
159,2017-06-13,20,20
160,2017-06-14,18,25
161,2017-06-15,17,25
162,2017-06-16,19,25
163,2017-06-17,17,25
164,2017-06-18,21,28
165,2017-06-19,22,25
166,2017-06-20,22,25
167,2017-06-21,22,25
168,2017-06-22,22,26
169,2017-06-23,25,29
170,2017-06-24,23,27
171,2017-06-25,22,25
172,2017-06-26,22,26
173,2017-06-27,21,25
174,2017-06-28,23,25
175,2017-06-29,24,30
176,2017-06-30,24,30
177,2017-07-01,26,33
178,2017-07-02,26,33
179,2017-07-03,26,32
180,2017-07-04,25,32
181,2017-07-05,26,34
182,2017-07-06,27,35
183,2017-07-07,27,35
184,2017-07-08,27,35
185,2017-07-09,27,35
186,2017-07-10,26,34
187,2017-07-11,26,33
188,2017-07-12,27,34
189,2017-07-13,26,36
190,2017-07-14,26,36
191,2017-07-15,27,36
192,2017-07-16,28,34
193,2017-07-17,27,34
194,2017-07-18,27,35
195,2017-07-19,27,38
196,2017-07-20,27,38
197,2017-07-21,27,38
198,2017-07-22,27,38
199,2017-07-23,27,38
200,2017-07-24,26,38
201,2017-07-25,26,38
202,2017-07-26,26,37
203,2017-07-27,27,37
204,2017-07-28,27,35
205,2017-07-29,28,34
206,2017-07-30,26,30
207,2017-07-31,28,32
