,date,T_min,T_max
0,2017-01-01,11,16
1,2017-01-02,10,19
2,2017-01-03,12,17
3,2017-01-04,13,20
4,2017-01-05,15,18
5,2017-01-06,14,17
6,2017-01-07,11,18
7,2017-01-08,7,16
8,2017-01-09,5,13
9,2017-01-10,7,13
10,2017-01-11,8,11
11,2017-01-13,5,11
12,2017-01-14,4,12
13,2017-01-15,5,11
14,2017-01-16,6,12
15,2017-01-17,9,11
16,2017-01-18,9,12
17,2017-01-19,2,12
18,2017-01-20,0,9
19,2017-01-21,1,9
20,2017-01-22,1,12
21,2017-01-23,2,12
22,2017-01-24,3,11
23,2017-01-25,4,11
24,2017-01-26,3,13
25,2017-01-27,6,16
26,2017-01-28,11,17
27,2017-01-29,7,22
28,2017-01-30,3,9
29,2017-01-31,6,10
30,2017-02-01,5,11
31,2017-02-02,6,11
32,2017-02-03,9,16
33,2017-02-04,10,17
34,2017-02-05,6,17
35,2017-02-06,6,13
36,2017-02-07,6,12
37,2017-02-08,4,9
38,2017-02-09,0,7
39,2017-02-10,0,9
40,2017-02-11,0,12
41,2017-02-12,1,12
42,2017-02-13,2,14
43,2017-02-14,4,16
44,2017-02-15,7,18
45,2017-02-16,10,21
46,2017-02-17,8,23
47,2017-02-18,5,12
48,2017-02-19,9,19
49,2017-02-20,8,22
50,2017-02-21,10,12
51,2017-02-22,5,22
52,2017-02-23,4,7
53,2017-02-24,4,7
54,2017-02-25,5,9
55,2017-02-26,5,14
56,2017-02-27,5,15
57,2017-02-28,7,14
58,2017-03-01,5,20
59,2017-03-02,2,13
60,2017-03-03,5,14
61,2017-03-04,12,19
62,2017-03-05,9,17
63,2017-03-06,5,14
64,2017-03-07,5,15
65,2017-03-08,5,14
66,2017-03-09,10,17
67,2017-03-10,11,13
68,2017-03-11,10,14
69,2017-03-12,10,14
70,2017-03-13,7,12
71,2017-03-14,5,14
72,2017-03-15,8,15
73,2017-03-16,8,13
74,2017-03-17,10,14
75,2017-03-18,11,14
76,2017-03-19,12,14
77,2017-03-20,10,17
78,2017-03-21,9,16
79,2017-03-22,9,11
80,2017-03-23,9,16
81,2017-03-25,9,16
82,2017-03-26,7,18
83,2017-03-27,9,21
84,2017-03-28,12,18
85,2017-03-29,12,21
86,2017-03-30,11,16
87,2017-03-31,9,14
88,2017-04-01,6,17
89,2017-04-02,9,20
90,2017-04-03,10,22
91,2017-04-04,15,22
92,2017-04-05,16,25
93,2017-04-06,18,26
94,2017-04-07,17,24
95,2017-04-08,17,25
96,2017-04-09,14,19
97,2017-04-10,13,17
98,2017-04-11,12,17
99,2017-04-12,8,19
100,2017-04-13,10,20
101,2017-04-14,13,25
102,2017-04-15,16,28
103,2017-04-16,19,28
104,2017-04-17,16,26
105,2017-04-18,16,28
106,2017-04-20,18,26
107,2017-04-21,15,20
108,2017-04-22,9,22
109,2017-04-23,11,22
110,2017-04-24,12,24
111,2017-04-25,17,23
112,2017-04-26,13,20
113,2017-04-27,10,19
114,2017-04-28,11,23
115,2017-04-29,14,26
116,2017-04-30,14,28
117,2017-05-01,19,28
118,2017-05-02,19,23
119,2017-05-03,20,23
120,2017-05-04,19,24
121,2017-05-05,18,26
122,2017-05-06,17,23
123,2017-05-07,16,24
124,2017-05-08,19,23
125,2017-05-09,17,28
126,2017-05-10,19,30
127,2017-05-11,21,31
128,2017-05-12,18,25
129,2017-05-13,16,27
130,2017-05-14,19,30
131,2017-05-16,19,24
132,2017-05-17,16,24
133,2017-05-18,16,27
134,2017-05-19,20,26
135,2017-05-20,20,27
136,2017-05-21,19,26
137,2017-05-22,21,27
138,2017-05-23,22,29
139,2017-05-24,19,27
140,2017-05-25,16,27
141,2017-05-26,18,30
142,2017-05-27,17,29
143,2017-05-28,19,28
144,2017-05-29,20,27
145,2017-05-30,22,29
146,2017-05-31,23,31
147,2017-06-01,21,25
148,2017-06-02,21,29
149,2017-06-03,22,28
150,2017-06-04,22,26
151,2017-06-05,22,23
152,2017-06-06,22,30
153,2017-06-07,22,29
154,2017-06-08,23,27
155,2017-06-09,24,28
156,2017-06-10,25,32
157,2017-06-11,22,28
158,2017-06-12,21,23
159,2017-06-13,21,23
160,2017-06-14,20,23
161,2017-06-15,19,24
162,2017-06-16,18,20
163,2017-06-17,19,25
164,2017-06-18,22,28
165,2017-06-19,22,25
166,2017-06-20,22,27
167,2017-06-21,23,26
168,2017-06-22,22,26
169,2017-06-23,24,29
170,2017-06-24,24,30
171,2017-06-25,22,26
172,2017-06-26,21,26
173,2017-06-27,21,24
174,2017-06-28,23,28
175,2017-06-29,24,30
176,2017-06-30,24,30
177,2017-07-01,26,34
178,2017-07-02,26,33
179,2017-07-03,26,34
180,2017-07-04,26,34
181,2017-07-05,26,34
182,2017-07-06,27,35
183,2017-07-07,27,35
184,2017-07-08,27,34
185,2017-07-09,27,34
186,2017-07-10,27,35
187,2017-07-11,27,35
188,2017-07-12,27,35
189,2017-07-13,26,36
190,2017-07-14,26,36
191,2017-07-15,27,35
192,2017-07-16,27,34
193,2017-07-17,26,34
194,2017-07-18,26,35
195,2017-07-19,28,38
196,2017-07-20,27,38
197,2017-07-21,27,37
198,2017-07-22,27,37
199,2017-07-23,27,38
200,2017-07-24,27,38
201,2017-07-25,28,39
202,2017-07-26,27,37
203,2017-07-27,27,36
204,2017-07-28,28,35
205,2017-07-29,28,33
206,2017-07-30,25,31
207,2017-07-31,27,32
